Kármán Vortex Street — Reduced Dynamics (real form)
Re₀ = 50.0000,  DPIM order = 7,  NVAR = 3

Hopf eigenvalues:
  λ[1] = +0.0514728175 +17.0372576674 i
  λ[2] = +0.0514728175 -17.0372576674 i

Nonzero reduced-dynamics monomials:
  [1, 0, 0]            : [0.051472818, 0.051472818, 0.0]
  [0, 1, 0]            : [-17.037258, -17.037258, 0.0]
  [0, 0, 1]            : [-78.61979, -78.61979, 0.0]
  [2, 0, 0]            : [-0.0071326141, -0.0071326141, 0.0]
  [1, 1, 0]            : [-0.0034181017, -0.0034181017, 0.0]
  [1, 0, 1]            : [-338.9891, -338.9891, 0.0]
  [0, 2, 0]            : [-0.0021102184, -0.0021102184, 0.0]
  [0, 1, 1]            : [571.76659, 571.76659, 0.0]
  [0, 0, 2]            : [6656.6069, 6656.6069, 0.0]
  [3, 0, 0]            : [-0.13914628, -0.13914628, 0.0]
  [2, 1, 0]            : [-0.013161321, -0.013161321, 0.0]
  [2, 0, 1]            : [0.09626318, 0.09626318, 0.0]
  [1, 2, 0]            : [-0.16968806, -0.16968806, 0.0]
  [1, 1, 1]            : [-2.5851135, -2.5851135, 0.0]
  [1, 0, 2]            : [11240.597, 11240.597, 0.0]
  [0, 3, 0]            : [-0.075612828, -0.075612828, 0.0]
  [0, 2, 1]            : [-0.72578665, -0.72578665, 0.0]
  [0, 1, 2]            : [-21283.457, -21283.457, 0.0]
  [0, 0, 3]            : [-381947.82, -381947.82, 0.0]
  [4, 0, 0]            : [2.3032654e-5, 2.3032654e-5, 0.0]
  [3, 1, 0]            : [0.00017512826, 0.00017512826, 0.0]
  [3, 0, 1]            : [-25.530203, -25.530203, 0.0]
  [2, 2, 0]            : [-3.4385811e-5, -3.4385811e-5, 0.0]
  [2, 1, 1]            : [51.458398, 51.458398, 0.0]
  [2, 0, 2]            : [137.54159, 137.54159, 0.0]
  [1, 3, 0]            : [8.5890106e-5, 8.5890106e-5, 0.0]
  [1, 2, 1]            : [-41.233039, -41.233039, 0.0]
  [1, 1, 2]            : [-418.72581, -418.72581, 0.0]
  [1, 0, 3]            : [-213715.92, -213715.92, 0.0]
  [0, 4, 0]            : [-0.0004996834, -0.0004996834, 0.0]
  [0, 3, 1]            : [55.389625, 55.389625, 0.0]
  [0, 2, 2]            : [849.29145, 849.29145, 0.0]
  [0, 1, 3]            : [943907.24, 943907.24, 0.0]
  [0, 0, 4]            : [1.9884596e7, 1.9884596e7, 0.0]
  [5, 0, 0]            : [0.0087153134, 0.0087153134, 0.0]
  [4, 1, 0]            : [0.038890231, 0.038890231, 0.0]
  [4, 0, 1]            : [0.060146838, 0.060146838, 0.0]
  [3, 2, 0]            : [0.0061892636, 0.0061892636, 0.0]
  [3, 1, 1]            : [-0.17013146, -0.17013146, 0.0]
  [3, 0, 2]            : [-20824.038, -20824.038, 0.0]
  [2, 3, 0]            : [0.081515944, 0.081515944, 0.0]
  [2, 2, 1]            : [1.2254103, 1.2254103, 0.0]
  [2, 1, 2]            : [87280.262, 87280.262, 0.0]
  [2, 0, 3]            : [276893.19, 276893.19, 0.0]
  [1, 4, 0]            : [-0.0014752893, -0.0014752893, 0.0]
  [1, 3, 1]            : [-0.39622319, -0.39622319, 0.0]
  [1, 2, 2]            : [-20268.332, -20268.332, 0.0]
  [1, 1, 3]            : [-384092.26, -384092.26, 0.0]
  [1, 0, 4]            : [1.6260124e7, 1.6260124e7, 0.0]
  [0, 5, 0]            : [0.040896071, 0.040896071, 0.0]
  [0, 4, 1]            : [1.0572434, 1.0572434, 0.0]
  [0, 3, 2]            : [88522.525, 88522.525, 0.0]
  [0, 2, 3]            : [1.0095551e6, 1.0095551e6, 0.0]
  [0, 1, 4]            : [-5.5316612e7, -5.5316612e7, 0.0]
  [0, 0, 5]            : [-1.312101e9, -1.312101e9, 0.0]
  [6, 0, 0]            : [0.00013199073, 0.00013199073, 0.0]
  [5, 1, 0]            : [-6.8802506e-5, -6.8802506e-5, 0.0]
  [5, 0, 1]            : [-19.81535, -19.81535, 0.0]
  [4, 2, 0]            : [0.00073304988, 0.00073304988, 0.0]
  [4, 1, 1]            : [116.93351, 116.93351, 0.0]
  [4, 0, 2]            : [269.74896, 269.74896, 0.0]
  [3, 3, 0]            : [-0.00018394029, -0.00018394029, 0.0]
  [3, 2, 1]            : [-41.272597, -41.272597, 0.0]
  [3, 1, 2]            : [-1080.7197, -1080.7197, 0.0]
  [3, 0, 3]            : [-1.7699349e7, -1.7699349e7, 0.0]
  [2, 4, 0]            : [0.0010351268, 0.0010351268, 0.0]
  [2, 3, 1]            : [236.62817, 236.62817, 0.0]
  [2, 2, 2]            : [2799.9654, 2799.9654, 0.0]
  [2, 1, 3]            : [8.4616707e7, 8.4616707e7, 0.0]
  [2, 0, 4]            : [2.4602655e8, 2.4602655e8, 0.0]
  [1, 5, 0]            : [-0.00010454648, -0.00010454648, 0.0]
  [1, 4, 1]            : [-21.794776, -21.794776, 0.0]
  [1, 3, 2]            : [-1123.7835, -1123.7835, 0.0]
  [1, 2, 3]            : [-1.761363e7, -1.761363e7, 0.0]
  [1, 1, 4]            : [-3.5302891e8, -3.5302891e8, 0.0]
  [1, 0, 5]            : [-5.7594645e9, -5.7594645e9, 0.0]
  [0, 6, 0]            : [0.00043872869, 0.00043872869, 0.0]
  [0, 5, 1]            : [119.17917, 119.17917, 0.0]
  [0, 4, 2]            : [2547.695, 2547.695, 0.0]
  [0, 3, 3]            : [8.4738838e7, 8.4738838e7, 0.0]
  [0, 2, 4]            : [9.5082286e8, 9.5082286e8, 0.0]
  [0, 1, 5]            : [6.130353e9, 6.130353e9, 0.0]
  [0, 0, 6]            : [1.0781307e11, 1.0781307e11, 0.0]
  [7, 0, 0]            : [-0.0079406621, -0.0079406621, 0.0]
  [6, 1, 0]            : [0.022817999, 0.022817999, 0.0]
  [6, 0, 1]            : [0.020983763, 0.020983763, 0.0]
  [5, 2, 0]            : [-0.023874685, -0.023874685, 0.0]
  [5, 1, 1]            : [-0.58554488, -0.58554488, 0.0]
  [5, 0, 2]            : [-49722.34, -49722.34, 0.0]
  [4, 3, 0]            : [0.069493276, 0.069493276, 0.0]
  [4, 2, 1]            : [1.2052483, 1.2052483, 0.0]
  [4, 1, 2]            : [230306.03, 230306.03, 0.0]
  [4, 0, 3]            : [653389.8, 653389.8, 0.0]
  [3, 4, 0]            : [-0.024345373, -0.024345373, 0.0]
  [3, 3, 1]            : [-1.2073365, -1.2073365, 0.0]
  [3, 2, 2]            : [-100242.21, -100242.21, 0.0]
  [3, 1, 3]            : [-2.1890002e6, -2.1890002e6, 0.0]
  [3, 0, 4]            : [-1.5696473e10, -1.5696473e10, 0.0]
  [2, 5, 0]            : [0.070088156, 0.070088156, 0.0]
  [2, 4, 1]            : [2.3647824, 2.3647824, 0.0]
  [2, 3, 2]            : [461001.11, 461001.11, 0.0]
  [2, 2, 3]            : [5.4013156e6, 5.4013156e6, 0.0]
  [2, 1, 4]            : [7.4139086e10, 7.4139086e10, 0.0]
  [2, 0, 5]            : [2.1317917e11, 2.1317917e11, 0.0]
  [1, 6, 0]            : [-0.0083845466, -0.0083845466, 0.0]
  [1, 5, 1]            : [-0.61999447, -0.61999447, 0.0]
  [1, 4, 2]            : [-50586.71, -50586.71, 0.0]
  [1, 3, 3]            : [-2.1983402e6, -2.1983402e6, 0.0]
  [1, 2, 4]            : [-1.5634847e10, -1.5634847e10, 0.0]
  [1, 1, 5]            : [-3.0789651e11, -3.0789651e11, 0.0]
  [1, 0, 6]            : [-1.743452e11, -1.743452e11, 0.0]
  [0, 7, 0]            : [0.023445093, 0.023445093, 0.0]
  [0, 6, 1]            : [1.1710451, 1.1710451, 0.0]
  [0, 5, 2]            : [230734.15, 230734.15, 0.0]
  [0, 4, 3]            : [4.7481119e6, 4.7481119e6, 0.0]
  [0, 3, 4]            : [7.4304176e10, 7.4304176e10, 0.0]
  [0, 2, 5]            : [8.2767472e11, 8.2767472e11, 0.0]
  [0, 1, 6]            : [3.2941548e12, 3.2941548e12, 0.0]
  [0, 0, 7]            : [-2.8831838e12, -2.8831838e12, 0.0]
